record_id,source,name,legal_name,dba,type,category,extraction_processing_flag,phone,email,website,street_address,city,state,zip_code,county,lat,lng,license_number,license_state,license_type,license_status,license_expiration,date_issued,usda_hemp_flag,delivery,sells_seeds,home_delivery,business_category,product_focus,is_medical,is_adult_use,ownership_type,social_equity_status,sos_entity_match,sos_formation_date,sos_registered_agent,sos_entity_type,sos_status,sos_website,epa_air_permit,epa_npdes_permit,epa_rcra_generator,epa_facility_name,epa_facility_address,fire_marshal_permit,fire_marshal_violations,tier2_filed,sec_public_company,sec_cik,sec_ticker,patent_count,instagram_url,google_place_id,sales_priority,data_quality_score,notes
US-0020299,CI_Community,Data Not Available,818 Brands Los Angeles LLC,818 Brands Los Angeles LLC,,Cultivation -  Processor,PENDING,(310) 987-6670,Rami@818brands.Com,,Not Published,Data Not Available,CA,Data Not Available,Los Angeles,,,CCL24-0000430,CA,Cultivation -  Processor,Active,07/23/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020300,CI_Community,Data Not Available,A CUT ABOVE SERVICES LLC,A CUT ABOVE SERVICES LLC,,Cultivation -  Processor,PENDING,(760) 251-3480,Andrey@americannmade.Com,,Not Published,Data Not Available,CA,Data Not Available,Riverside,,,CCL21-0000519,CA,Cultivation -  Processor,Expired,06/17/2025 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020301,CI_Community,Data Not Available,ANT Green LLC,ANT Green LLC,,Cultivation -  Processor,PENDING,(415) 941-8808,AntgreenLLC@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Contra Costa,,,CCL22-0000470,CA,Cultivation -  Processor,Active,08/21/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020302,CI_Community,Data Not Available,"Adelanto Botanical Company, Inc.","Adelanto Botanical Company, Inc.",,Cultivation -  Processor,PENDING,(310) 431-7116,Aviv.Amb.Consulting.Marketing@outlook.Com,,Not Published,Data Not Available,CA,Data Not Available,San Bernardino,,,CCL19-0002347,CA,Cultivation -  Processor,Surrendered,07/19/2021 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020303,CI_Community,Data Not Available,"Alamos Farm, Inc.","Alamos Farm, Inc.",,Cultivation -  Processor,PENDING,(805) 757-0173,Alamosfarminc@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL19-0000333,CA,Cultivation -  Processor,Expired,05/07/2024 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020304,CI_Community,Data Not Available,"Alchemy 29, LLC","Alchemy 29, LLC",,Cultivation -  Processor,PENDING,(530) 379-8588,Autumn@artemiscopack.Com,,Not Published,Data Not Available,CA,Data Not Available,Lake,,,CCL21-0002893,CA,Cultivation -  Processor,Active,06/28/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020305,CI_Community,Data Not Available,"Alexander Von Farms, LLC","Alexander Von Farms, LLC",,Cultivation -  Processor,PENDING,(925) 872-1469,Brett4kicks@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Humboldt,,,CCL21-0002229,CA,Cultivation -  Processor,Expired,08/20/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020306,CI_Community,Data Not Available,Alkhemist LLC,Alkhemist LLC,,Cultivation -  Processor,PENDING,(310) 780-4797,James@alkhemist.Co,,Not Published,Data Not Available,CA,Data Not Available,Los Angeles,,,CCL20-0002362,CA,Cultivation -  Processor,Expired,01/15/2024 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020307,CI_Community,Data Not Available,Analemma LLC,Analemma LLC,,Cultivation -  Processor,PENDING,(209) 594-9396,Info@analemma.Io,,Not Published,Data Not Available,CA,Data Not Available,Sacramento,,,CCL22-0000948,CA,Cultivation -  Processor,Expired,02/10/2024 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020308,CI_Community,Data Not Available,"Arcturian Light, LLC","Arcturian Light, LLC",,Cultivation -  Processor,PENDING,(310) 633-1155,Memory.Buss@icloud.Com,,Not Published,Data Not Available,CA,Data Not Available,Los Angeles,,,CCL18-0003820,CA,Cultivation -  Processor,Expired,09/09/2025 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020309,CI_Community,Data Not Available,Arroyo Verde Farms,Arroyo Verde Farms,,Cultivation -  Processor,PENDING,(805) 331-1814,Barrybrand63@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL18-0001348,CA,Cultivation -  Processor,Expired,04/16/2020 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020310,CI_Community,Data Not Available,"Autumn Brands, LLC","Autumn Brands, LLC",,Cultivation -  Processor,PENDING,(805) 331-2345,Hans@autumnbrands.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL18-0002738,CA,Cultivation -  Processor,Active,03/25/2027 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020311,CI_Community,Data Not Available,BOLDT INC.,BOLDT INC.,,Cultivation -  Processor,PENDING,(630) 666-8599,Ab@fairdistro.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Cruz,,,CCL20-0002676,CA,Cultivation -  Processor,Expired,02/05/2024 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020312,CI_Community,Data Not Available,"Barlow Printing, LLC","Barlow Printing, LLC",,Cultivation -  Processor,PENDING,(707) 380-3188,Jamie@henrysoriginal.Com,,Not Published,Data Not Available,CA,Data Not Available,Sonoma,,,CCL19-0005020,CA,Cultivation -  Processor,Expired,10/24/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020313,CI_Community,Data Not Available,"Base Camp Cannabis Company, LLC","Base Camp Cannabis Company, LLC",,Cultivation -  Processor,PENDING,(559) 903-8161,Emcilhatton@icloud.Com,,Not Published,Data Not Available,CA,Data Not Available,Kings,,,CCL21-0003770,CA,Cultivation -  Processor,Expired,09/14/2025 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020314,CI_Community,Data Not Available,Beamia LLC,Beamia LLC,,Cultivation -  Processor,PENDING,(949) 742-4431,Viet@loopfinance.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Cruz,,,CCL24-0000652,CA,Cultivation -  Processor,Active,06/17/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020315,CI_Community,Data Not Available,Boca Del Rio Agriculture LLC,Boca Del Rio Agriculture LLC,,Cultivation -  Processor,PENDING,(661) 491-0336,Dustin@bocadelriofarms.Com,,Not Published,Data Not Available,CA,Data Not Available,Fresno,,,CCL21-0004676,CA,Cultivation -  Processor,Expired,10/11/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020316,CI_Community,Data Not Available,Bonaventure Growers Association Inc.,Bonaventure Growers Association Inc.,,Cultivation -  Processor,PENDING,(818) 568-8118,Nissim@plugbit.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL18-0003482,CA,Cultivation -  Processor,Expired,08/02/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020317,CI_Community,Data Not Available,"Bosim 1628 Management Company, LLC","Bosim 1628 Management Company, LLC",,Cultivation -  Processor,PENDING,(647) 290-7205,Michael.Bang@calyxpeak.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL18-0001689,CA,Cultivation -  Processor,Expired,03/06/2025 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020318,CI_Community,Data Not Available,Busy Bee's Organics,Busy Bee's Organics,,Cultivation -  Processor,PENDING,(917) 886-7989,Sara@newcobranding.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL19-0002333,CA,Cultivation -  Processor,Expired,09/04/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020319,CI_Community,Data Not Available,Buttonwood Tree LLC,Buttonwood Tree LLC,,Cultivation -  Processor,PENDING,(831) 588-4830,Coastabella@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL19-0002207,CA,Cultivation -  Processor,Expired,08/22/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020320,CI_Community,Data Not Available,CALIFORNIA GREENHOUSE FARMING 3803 DUFAU LLC,CALIFORNIA GREENHOUSE FARMING 3803 DUFAU LLC,,Cultivation -  Processor,PENDING,(310) 866-0024,Jtproducer34@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Ventura,,,CCL21-0005215,CA,Cultivation -  Processor,Expired,10/11/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020321,CI_Community,Data Not Available,"CALIFORNIA NEW WAVE I, LLC","CALIFORNIA NEW WAVE I, LLC",,Cultivation -  Processor,PENDING,(786) 200-3429,Cnwlicensing@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL19-0004999,CA,Cultivation -  Processor,Expired,01/23/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020322,CI_Community,Data Not Available,CEA Development LLC,CEA Development LLC,,Cultivation -  Processor,PENDING,(303) 725-7014,Stephen.Kaye@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL23-0000362,CA,Cultivation -  Processor,Expired,08/02/2024 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020323,CI_Community,Data Not Available,"CEA Development, LLC","CEA Development, LLC",,Cultivation -  Processor,PENDING,(303) 725-7014,Stephen.Kaye@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL19-0005240,CA,Cultivation -  Processor,Expired,03/06/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020324,CI_Community,Data Not Available,"CEA Services, LLC","CEA Services, LLC",,Cultivation -  Processor,PENDING,(917) 715-0469,Will.Sun@curated-Cannabis.Com,,Not Published,Data Not Available,CA,Data Not Available,Orange,,,CCL19-0001984,CA,Cultivation -  Processor,Active,04/30/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020325,CI_Community,Data Not Available,"CHIPS18, LLC","CHIPS18, LLC",,Cultivation -  Processor,PENDING,(805) 242-1151,Compliance@ccagriculture.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL20-0002892,CA,Cultivation -  Processor,Active,02/15/2027 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020326,CI_Community,Data Not Available,CI Wellness LLC.,CI Wellness LLC.,,Cultivation -  Processor,PENDING,(951) 675-4508,Nick@claybourneco.Com,,Not Published,Data Not Available,CA,Data Not Available,Riverside,,,CCL21-0004319,CA,Cultivation -  Processor,Active,12/31/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020327,CI_Community,Data Not Available,"CK ENDEAVORS, INC","CK ENDEAVORS, INC",,Cultivation -  Processor,PENDING,(714) 587-0383,Charlie@duardventures.Com,,Not Published,Data Not Available,CA,Data Not Available,Riverside,,,CCL19-0004719,CA,Cultivation -  Processor,Expired,10/29/2024 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020328,CI_Community,Data Not Available,"CP1 Supply Systems, LLC","CP1 Supply Systems, LLC",,Cultivation -  Processor,PENDING,(707) 601-6070,Cp1@goheadwaters.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL18-0001154,CA,Cultivation -  Processor,Active,02/25/2027 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020329,CI_Community,Data Not Available,"CRFT Manufacturing, Inc.","CRFT Manufacturing, Inc.",,Cultivation -  Processor,PENDING,(707) 328-5596,Compliance@cannacraft.Com,,Not Published,Data Not Available,CA,Data Not Available,Sonoma,,,CCL20-0003248,CA,Cultivation -  Processor,Expired,07/12/2024 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020330,CI_Community,Data Not Available,"Cabot Management, LLC","Cabot Management, LLC",,Cultivation -  Processor,PENDING,(323) 775-3579,Andrey@americannmade.Com,,Not Published,Data Not Available,CA,Data Not Available,Riverside,,,CCL22-0000318,CA,Cultivation -  Processor,Active,09/19/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020331,CI_Community,Data Not Available,Califire Clones,Califire Clones,,Cultivation -  Processor,PENDING,(831) 224-6250,Calfireclones@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL20-0000385,CA,Cultivation -  Processor,Surrendered,07/25/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020332,CI_Community,Data Not Available,"California Greenhouse Farming 4107 Gonzales, LLC","California Greenhouse Farming 4107 Gonzales, LLC",,Cultivation -  Processor,PENDING,(310) 866-0024,Jtproducer@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Ventura,,,CCL21-0005268,CA,Cultivation -  Processor,Expired,08/24/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020333,CI_Community,Data Not Available,"California New Wave I, LLC","California New Wave I, LLC",,Cultivation -  Processor,PENDING,(602) 358-3329,Chrisbonham30@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL22-0001079,CA,Cultivation -  Processor,Expired,09/28/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020334,CI_Community,Data Not Available,"California Organic Treatment Center, Inc.","California Organic Treatment Center, Inc.",,Cultivation -  Processor,PENDING,(323) 632-6469,Aaron@traditional.Com,,Not Published,Data Not Available,CA,Data Not Available,Los Angeles,,,CCL24-0000705,CA,Cultivation -  Processor,Active,06/03/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020335,CI_Community,Data Not Available,Canna Rios LLC  dba Runway Gardens,Canna Rios LLC  dba Runway Gardens,,Cultivation -  Processor,PENDING,(831) 206-6460,CannariosLLC@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL18-0003516,CA,Cultivation -  Processor,Expired,09/13/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020336,CI_Community,Data Not Available,CannaKilt LLC,CannaKilt LLC,,Cultivation -  Processor,PENDING,(949) 367-6044,Tracyenterprisescann@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,San Bernardino,,,CCL25-0000456,CA,Cultivation -  Processor,Active,03/11/2027 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020337,CI_Community,Data Not Available,"Canyon Farms, L.L.C.","Canyon Farms, L.L.C.",,Cultivation -  Processor,PENDING,(707) 498-6453,Pgenolio@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Humboldt,,,CCL23-0000561,CA,Cultivation -  Processor,Active,06/06/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020338,CI_Community,Data Not Available,"Canyon Produce, LLC","Canyon Produce, LLC",,Cultivation -  Processor,PENDING,(512) 739-6923,Ja.Lag@losalamosgardens.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL21-0004203,CA,Cultivation -  Processor,Active,05/05/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020339,CI_Community,Data Not Available,"Capital City Healthcare, LLC","Capital City Healthcare, LLC",,Cultivation -  Processor,PENDING,(707) 496-4690,Jmorris@greenmatter.Com,,Not Published,Data Not Available,CA,Data Not Available,Sacramento,,,CCL20-0000177,CA,Cultivation -  Processor,Expired,05/18/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020340,CI_Community,Data Not Available,"Carp Red Barn, Inc.","Carp Red Barn, Inc.",,Cultivation -  Processor,PENDING,(805) 510-1060,Tadd@pacificdutchgroup.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL23-0000446,CA,Cultivation -  Processor,Active,07/11/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020341,CI_Community,Data Not Available,Castlerock Family Farms II,Castlerock Family Farms II,,Cultivation -  Processor,PENDING,(831) 251-0908,Castlerockff@gmail.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL19-0001603,CA,Cultivation -  Processor,Expired,02/18/2021 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020342,CI_Community,Data Not Available,"Central Coast Ag Farming, LLC","Central Coast Ag Farming, LLC",,Cultivation -  Processor,PENDING,(805) 694-8594,John@ccagriculture.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL18-0002256,CA,Cultivation -  Processor,Active,02/15/2027 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
